,1,2,3,4,5,mean_tpr,std_tpr,fpr
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,1.0,0.999129677980853,1.0,0.999129677980853,0.9996518711923411,0.0004766950021802833,0.010101010101010102
2,1.0,1.0,0.999129677980853,1.0,1.0,0.9998259355961705,0.00038921983942553624,0.020202020202020204
3,1.0,1.0,0.999129677980853,1.0,1.0,0.9998259355961705,0.00038921983942553624,0.030303030303030304
4,1.0,1.0,0.999129677980853,1.0,1.0,0.9998259355961705,0.00038921983942553624,0.04040404040404041
5,1.0,1.0,0.999129677980853,1.0,1.0,0.9998259355961705,0.00038921983942553624,0.05050505050505051
6,1.0,1.0,0.999129677980853,1.0,1.0,0.9998259355961705,0.00038921983942553624,0.06060606060606061
7,1.0,1.0,0.999129677980853,1.0,1.0,0.9998259355961705,0.00038921983942553624,0.07070707070707072
8,1.0,1.0,0.999129677980853,1.0,1.0,0.9998259355961705,0.00038921983942553624,0.08080808080808081
9,1.0,1.0,0.999129677980853,1.0,1.0,0.9998259355961705,0.00038921983942553624,0.09090909090909091
10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.10101010101010102
11,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.11111111111111112
12,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.12121212121212122
13,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.13131313131313133
14,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.14141414141414144
15,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.15151515151515152
16,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.16161616161616163
17,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.17171717171717174
18,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.18181818181818182
19,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.19191919191919193
20,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.20202020202020204
21,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.21212121212121213
